category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Translation evaluation ,Translation evaluation ,NULL,United States,Flat Fee,ENGLISH,To,SPANISH,40,,NULL
Consecutive Interpretation,Consecutive Interpretation,NULL,United States,Hour,ENGLISH,To / From,SPANISH,115,,NULL
Consecutive/Simultaneous Interpretation,Consecutive/Simultaneous Interpretation,NULL,United States,8-hr. day,ENGLISH,To / From,SPANISH,500,,NULL
Translation,Translation,NULL,United States,Target wrd,ENGLISH,To / From,SPANISH,0.11,,NULL
Translation,Translation,NULL,United States,Target wrd,ENGLISH,To / From,SPANISH,0.1,,NULL
Editing,Editing,NULL,United States,Target wrd,ENGLISH,To / From,SPANISH,0.03,,NULL
Editing,Editing,NULL,United States,Target wrd,ENGLISH,To / From,SPANISH,0.035,,NULL
Translation,Translation,NULL,United States,Source word (rush),ENGLISH,To / From,SPANISH,0.8,,NULL
Editing,Editing,NULL,United States,Word,AZERBAIJANI,To / From,ENGLISH,0.04,,NULL
Translation,Translation,NULL,United States,Target wrd,FARSI,To / From,ENGLISH,0.14,,NULL
Translation,Translation,NULL,United States,NULL,FARSI,To,ENGLISH,0.14,,NULL
Editing,Editing,NULL,United States,Target wrd,BAHASA INDONESIAN,To / From,ENGLISH,0.03,,NULL
Translation,Translation,NULL,United States,Target wrd,BAHASA INDONESIAN,To,ENGLISH,0.1,,NULL
Event Planner,Event Planner,NULL,NULL,Flat Fee,ENGLISH,To,ENGLISH,0,,NULL
Event Planner,Event Planner,NULL,United States,Project,ENGLISH,To,ENGLISH,53000,,NULL
Preparation ,Preparation ,NULL,United States,Project,AZERBAIJANI,To / From,ENGLISH,40,,NULL
Translation,Translation,NULL,United States,Target wrd,AZERBAIJANI,To / From,ENGLISH,0.12,,NULL
Translation,Translation,NULL,United States,Target wrd,THAI,To / From,ENGLISH,0.12,,NULL
Editing,Editing,NULL,United States,Target wrd,THAI,To / From,ENGLISH,0.03,,NULL
Editing,Editing,NULL,United States,Target wrd,LAO,To / From,ENGLISH,0.03,,NULL
Translation,Translation,NULL,United States,Target wrd,LAO,To / From,ENGLISH,0.12,,NULL
Translation,Translation,NULL,United States,Target wrd,HUNGARIAN,To / From,ENGLISH,0.11,,NULL
Translation,Translation,NULL,United States,Source wrd,HUNGARIAN,To / From,ENGLISH,0.12,,NULL
Simultaneous Interpretation,Simultaneous Interpretation,NULL,Bulgaria,8-hr. day,BULGARIAN,To / From,ENGLISH,500,,NULL
Simultaneous Interpretation,Simultaneous Interpretation,NULL,Bulgaria,8-hr. day,BULGARIAN,To / From,ENGLISH,500,,NULL
Consecutive Interpretation,Consecutive Interpretation,NULL,Bulgaria,8-hr. day,BULGARIAN,To / From,ENGLISH,500,,NULL
Consecutive Interpretation,Consecutive Interpretation,NULL,Bulgaria,8-hr. day,BULGARIAN,To / From,ENGLISH,500,,NULL
Written Translation ,Written Translation ,NULL,Bulgaria,Word,BULGARIAN,To / From,ENGLISH,0.14,,NULL
Proofread / DC,Proofread / DC,NULL,Bulgaria,Word,BULGARIAN,To / From,ENGLISH,0.035,,NULL
Editing,Editing,NULL,Bulgaria,Word,BULGARIAN,To / From,ENGLISH,0.07,,NULL
Desktop Publishing,Desktop Publishing,NULL,Bulgaria,Word,BULGARIAN,To / From,ENGLISH,0.14,,NULL
Desktop Publishing,Desktop Publishing,NULL,Bulgaria,Slide,BULGARIAN,To / From,ENGLISH,2,,NULL
Consecutive Interpretation,Consecutive Interpretation,NULL,Bulgaria,Half Day,BULGARIAN,To / From,ENGLISH,250,,NULL
