code,name,city,country_id,location
PKG,Pangkor Airport,,MY,POINT (100.7 4.216667)
ABU,Haliwen Airport,Atambua,ID,POINT (124.88333 -9.133333)
AAB,Arrabury Airport,Tanbar,AU,POINT (141.049092 -26.6967835)
BKQ,Blackall Airport,,AU,POINT (145.43625323056347 -24.42789765)
ASP,Alice Springs Airport,,AU,POINT (133.89773500499115 -23.8062855)
CTL,Charleville Airport,,AU,POINT (146.2619934 -26.4132996)
AWP,Austral Downs Airport,,AU,POINT (137.7652929 -20.4940024)
AYQ,Connellan Airport,,AU,POINT (130.975767814586 -25.18184745)
BCI,Barcaldine Airport,,AU,POINT (145.30206293946705 -23.56550565)
BME,Broome Airport,,AU,POINT (122.23069434861999 -17.9492125)
PPP,Whitsunday Coast Airport,,AU,POINT (148.55346993636186 -20.4923508)
NIF,Nifty Airport,,AU,POINT (121.588329 -21.6709193)
BYP,Barimunya Airport,,AU,POINT (119.16560290883734 -22.67434605)
CED,Ceduna Airport,,AU,POINT (133.70730954308243 -32.130567549999995)
CNJ,Cloncurry Airport,,AU,POINT (140.50851 -20.668905)
CPD,Coober Pedy Airport,,AU,POINT (134.72258592176874 -29.041282199999998)
CJF,Coondewanna Airport,,AU,POINT (118.8123347 -22.9642029)
DMD,Doomadgee Airport,,AU,POINT (138.81453566389803 -17.936965049999998)
DPO,Devonport Airport,,AU,POINT (146.42759229572462 -41.1717979)
FVR,Forrest River Airport,,AU,POINT (127.833336 -15.253056)
GBW,Ginbata Airport,,AU,POINT (120.03553 -22.5812)
GLT,Gladstone Airport,,AU,POINT (151.22385043997647 -23.869519150000002)
GTE,Alyangula Airport,,AU,POINT (136.46002 -13.973887)
GTT,Georgetown Airport,Georgetown,AU,POINT (143.78334 -18.416668)
BBL,Ballera Airport,,AU,POINT (141.808333 27.408333)
KRB,Karumba Airport,,AU,POINT (140.83177203881445 -17.45582115)
KGC,Kingscote Airport,,AU,POINT (137.5230169675114 -35.71409045)
ONG,Mornington Airport,,AU,POINT (139.17004 -16.662558)
MNG,Maningrida Airport,,AU,POINT (134.2339935 -12.0560999)
MCV,Mcarthur River Airport,,AU,POINT (136.095 -16.466667)
ABM,Northern Peninsula Airport,,AU,POINT (142.45033 -10.942619)
KNX,Kununurra Airport,,AU,POINT (128.70522745340165 -15.77628825)
GOV,Nhulunbuy Airport,,AU,POINT (136.82265 -12.269595)
LEA,Learmonth Airport,,AU,POINT (114.09427 -22.239883)
NTN,Normanton Airport,,AU,POINT (141.0746285 -17.68517)
OLP,Olympic Dam Airport,,AU,POINT (136.87764439593963 -30.48471425)
PBO,Paraburdoo Airport,,AU,POINT (117.74584925439711 -23.17202315)
PQQ,Port Macquarie Airport,,AU,POINT (152.87350282041024 -31.4357662)
PHE,Port Hedland International Airport,,AU,POINT (118.62407240179644 -20.3737968)
TQP,Trepell Airport,,AU,POINT (140.894352 -21.8402176)
RMA,Roma Airport,,AU,POINT (148.7770438 -26.5423989)
SYD,Sydney (Kingsford Smith) Airport,,AU,POINT (151.18196819346016 -33.9498935)
PHQ,The Monument Airport,,AU,POINT (139.9215968643398 -21.80924245)
TEF,Telfer Airport,,AU,POINT (122.22815627252444 -21.7139933)
PEK,Beijing Capital International Airport,,CN,POINT (116.5942601992765 40.079155549999996)
BHY,Beihai Fucheng Airport,Beihai,CN,POINT (109.29173962146939 21.5391801)
SJW,Shijiazhuang Daguocun Airport,,CN,POINT (114.68964497905779 38.2803561)
BPE,Qinhuangdao Beidaihe Airport,,CN,POINT (96 24)
CAN,Guangzhou Baiyun International Airport,,CN,POINT (113.3015079267467 23.3931854)
TSN,Tianjin Binhai International Airport,,CN,POINT (117.35483617593881 39.12745995)
ZDY,Delma Island Airport,,AE,POINT (52.33512436277246 24.51105115)
CIF,Chifeng Airport,,CN,POINT (118.91089 42.237392)
CSX,Changsha Huanghua Airport,,CN,POINT (113.21991433924589 28.190666049999997)
DYG,Zhangjiajie Hehua Airport,,CN,POINT (110.44472066563625 29.103868499999997)
LYA,Luoyang Beijiao Airport,,CN,POINT (112.38655833509651 34.74071765)
NNG,Nanning Airport,,CN,POINT (108.1778206273208 22.6087962)
SYX,Sanya Phoenix International Airport,,CN,POINT (109.4125578036077 18.30441145)
ZHY,Zhongwei Airport,,CN,POINT (105.15233253938072 37.5710553)
NNY,Nanyang Airport,,CN,POINT (112.61568318665394 32.9822422)
CGO,Zhengzhou Xinzheng Airport,,CN,POINT (113.84801423633316 34.5270534)
SIA,Xi'an Xiguan Airport,,CN,POINT (108.75874 34.44104)
DNH,Dunhuang Airport,,CN,POINT (94.683334 40.2)
HAK,Haikou Airport,,CN,POINT (110.45927325175722 19.9442567)
SWA,Jieyang Chaoshan Airport,,CN,POINT (116.75859 23.430237)
WUH,Wuhan Tianhe International Airport,,CN,POINT (114.21236810445089 30.77382425)
LHW,Lanzhou Zhongchuan International Airport,,CN,POINT (103.86667 36.033333)
LUM,Dehong Mangshi Airport,,CN,POINT (98.52863867335108 24.399627)
TAO,Qingdao Liuting International Airport,,CN,POINT (120.37679264563059 36.26799135)
ULN,Chinggis Khaan International Airport,,MN,POINT (106.76327 47.85275)
FOC,Changle International Airport,,CN,POINT (119.66617231883538 25.934525450000002)
HFE,Hefei Xinqiao Airport,,CN,POINT (117.28333 31.85)
